Day,Num,pH7.0V,pH7.5V,pH8.1S,pH8.1V,pH7.0S,pH7.5S
D3,200,7.098032,7.55608,8.101032,8.070931,6.997745,7.490229
D3,201,7.104284,7.556396,8.100738,8.080342,6.997995,7.489987
D3,202,7.149645,7.573576,8.093701,8.084342,6.998568,7.495689
D3,203,7.106088,7.597759,8.09722,7.862142,6.998735,7.490917
D3,204,7.105809,7.598482,8.100754,7.893541,6.998537,7.49118
D3,205,7.107038,7.597508,8.101032,7.923474,6.997275,7.497385
D3,206,7.163398,7.621332,8.100241,7.949979,7.032668,7.496902
D3,207,7.176158,7.647186,8.100754,7.976529,6.966249,7.489605
D3,208,7.17622,7.651817,8.100877,7.993078,6.968935,7.492121
D3,209,7.176676,7.651739,8.096456,7.984893,6.981013,7.49687
D3,210,7.210958,7.662521,8.093997,7.972306,6.982894,7.497537
D3,211,7.214386,7.691301,8.100722,7.854476,6.998774,7.496817
D3,212,7.214865,7.706543,8.101495,7.793693,6.998303,7.492581
D3,213,7.215476,7.707092,8.101141,7.839154,6.999423,7.494298
D3,214,7.258826,7.720417,8.10093,7.872635,6.99977,7.492759
D3,215,7.269028,7.74286,8.100679,7.887417,6.999781,7.491529
D3,216,7.268366,7.751946,8.101075,7.870204,6.999844,7.49181
D3,217,7.269104,7.751389,8.10071,7.85616,7.000401,7.495714
D3,218,7.312596,7.752519,8.100658,7.880919,6.999321,7.497375
D3,219,7.323156,7.766438,8.101032,7.648309,6.999864,7.490856
D3,220,7.323647,7.781164,8.100696,7.704607,6.998239,7.491747
D3,221,7.324775,7.796868,8.100984,7.764027,6.999572,7.496554
D3,222,7.297139,7.759737,8.100679,7.773334,6.976807,7.497481
D3,223,7.259933,7.67336,8.100679,7.778899,6.969778,7.496572
D3,224,7.259762,7.699494,8.100946,7.792078,6.973846,7.49702
D3,225,7.261651,7.723827,8.100679,7.789071,6.975632,7.489255
D3,226,7.247125,7.726089,8.100829,7.703996,6.993542,7.495364
D3,227,7.205435,7.652303,8.090091,7.53778,6.999326,7.496708
D3,228,7.205545,7.687323,8.100642,7.611561,6.999387,7.492269
D3,229,7.207095,7.694471,8.100984,7.674795,6.998346,7.496739
D3,230,7.201547,7.67767,8.100668,7.693435,6.999667,7.494916
D3,231,7.160795,7.595599,8.100653,7.695691,6.999261,7.49005
D3,232,7.160049,7.633292,8.101032,7.690842,6.999451,7.49655
D3,233,7.162244,7.642896,8.100161,7.690502,6.999244,7.491805
D3,234,7.150994,7.628883,8.100722,7.625514,6.998557,7.496822
D3,235,7.106299,7.558613,8.101028,7.488602,6.999036,7.497584
D3,236,7.106408,7.579444,8.100738,7.564445,6.998882,7.491741
D3,237,7.107166,7.575367,8.100685,7.633809,6.998887,7.492987
D3,238,7.1071,7.567318,8.100952,7.541801,6.998344,7.491367
D3,239,7.06329,7.51583,8.100716,7.423112,6.998105,7.492034
D3,240,7.063451,7.539475,8.100639,7.509963,6.998496,7.491455
D3,241,7.065285,7.543065,8.099047,7.563371,6.999988,7.492018
D3,242,7.058618,7.52043,8.100737,7.50736,7.033916,7.490521
D3,243,7.006051,7.48017,8.101256,7.52583,6.967555,7.495543
D3,244,7.006782,7.501137,8.090646,7.526694,6.979755,7.493844
D3,245,7.008839,7.495479,8.100732,7.529953,6.968615,7.487802
D3,246,7.01545,7.468318,8.098538,7.534915,6.993035,7.495252
D3,247,6.954542,7.434527,8.093591,7.375679,6.998959,7.496625
D3,248,6.954141,7.4376,8.100722,7.454163,6.998918,7.491646
D3,249,6.955399,7.447972,8.101065,7.41909,6.998777,7.496984
D3,250,6.969341,7.430818,8.090721,7.471116,6.99909,7.497525
D3,251,6.913419,7.379795,8.100737,7.532103,6.998185,7.493403
D3,252,6.913156,7.390487,8.100822,7.528306,6.99773,7.495734
D3,253,6.915071,7.387392,8.100753,7.522017,6.999718,7.496748
D3,254,6.927716,7.378361,8.100984,7.576829,7.03193,7.493065
D3,255,6.867993,7.343072,8.098672,7.556323,6.967375,7.492148
D3,256,6.868186,7.342325,8.090801,7.562694,6.979914,7.497
D3,257,6.870396,7.346742,8.100737,7.581855,6.970457,7.492088
